X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-3.00E+08,5.00E+05
0,4.04E+00,6.80E+00,,
1,4.12E+00,6.96E+00,,
2,4.04E+00,6.96E+00,,
3,4.12E+00,6.80E+00,,
4,4.12E+00,6.80E+00,,
5,4.04E+00,6.96E+00,,
6,4.04E+00,6.80E+00,,
7,4.12E+00,6.96E+00,,
8,4.16E+00,6.96E+00,,
9,4.04E+00,6.80E+00,,
10,4.04E+00,6.80E+00,,
11,4.16E+00,6.96E+00,,
12,4.12E+00,6.80E+00,,
13,4.04E+00,7.92E+00,,
14,4.04E+00,7.76E+00,,
15,4.16E+00,9.84E+00,,
16,4.16E+00,9.68E+00,,
17,4.08E+00,1.08E+01,,
18,4.16E+00,1.07E+01,,
19,4.24E+00,1.18E+01,,
20,4.16E+00,1.17E+01,,
21,4.28E+00,1.18E+01,,
22,4.20E+00,1.17E+01,,
23,4.32E+00,1.18E+01,,
24,4.28E+00,1.17E+01,,
25,4.36E+00,1.18E+01,,
26,4.32E+00,1.18E+01,,
27,4.44E+00,1.17E+01,,
28,4.40E+00,1.17E+01,,
29,4.52E+00,1.18E+01,,
30,4.40E+00,1.17E+01,,
31,4.56E+00,1.18E+01,,
32,4.48E+00,1.17E+01,,
33,4.56E+00,1.18E+01,,
34,4.52E+00,1.17E+01,,
35,4.60E+00,1.18E+01,,
36,4.56E+00,1.18E+01,,
37,4.64E+00,1.17E+01,,
38,4.60E+00,1.18E+01,,
39,4.68E+00,1.17E+01,,
40,4.64E+00,1.18E+01,,
41,4.72E+00,1.17E+01,,
42,4.64E+00,1.17E+01,,
43,4.76E+00,1.18E+01,,
44,4.68E+00,1.17E+01,,
45,4.80E+00,1.18E+01,,
46,4.72E+00,1.17E+01,,
47,4.80E+00,1.18E+01,,
48,4.76E+00,1.18E+01,,
49,4.84E+00,1.17E+01,,
50,4.76E+00,1.17E+01,,
51,4.88E+00,1.18E+01,,
52,4.80E+00,1.17E+01,,
53,4.92E+00,1.18E+01,,
